type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,hour_of_day,distance_from_home,is_abroad,isFraud
PAYMENT,49.73,44210.23,44160.5,15272.51,15322.24,14,25.71,0,0
TRANSFER,698.6,698.6,0.0,200.0,898.6,2,452.51,0,1
PAYMENT,14.62,3009.404869597961,2994.784869597961,86455.12,86469.73999999999,13,4.24,0,0
TRANSFER,17.19,74037.78,74020.59,31622.74,31639.93,7,18.07,0,0
PAYMENT,94.86,9427.07,9332.21,57145.81,57240.67,12,19.56,0,0
CASH_OUT,83.08,24162.94,24079.859999999997,5927.78,6010.86,19,10.47,0,0
PAYMENT,51.54,84871.4,84819.86,36583.14,36634.68,12,61.99,0,0
CASH_OUT,39.01,90665.18,90626.17,47082.37,47121.380000000005,9,21.5,0,0
PAYMENT,635.07,65822.81,65187.74,43434.6,44069.67,17,66.45,0,0
CASH_IN,857.73,56496.73,55639.0,32743.32,33601.05,13,50.92,0,0
TRANSFER,315.93,94085.85,93769.92000000001,66388.47,66704.4,23,6.2,1,0
PAYMENT,206.15,18126.49,17920.34,83871.37,84077.51999999999,12,17.67,0,0
CASH_OUT,6.41,32163.78,32157.37,69879.87,69886.28,5,0.5,0,0
PAYMENT,2691.7,80227.03,77535.33,66025.24,68716.94,9,18.87,0,0
CASH_IN,14.29,83529.91,83515.62000000001,69799.14,69813.43,11,34.43,0,0
PAYMENT,20.01,14879.02,14859.01,67586.88,67606.89,12,8.87,0,0
PAYMENT,28.59,30158.27,30129.68,5635.9,5664.49,11,27.47,0,0
DEBIT,30.12,59084.21,59054.09,72851.81,72881.93,16,11.67,0,0
PAYMENT,293.29,45355.55,45062.26,10893.45,11186.740000000002,14,0.5,0,0
PAYMENT,1268.89,59561.31,58292.42,14681.02,15949.91,5,22.45,0,0
CASH_OUT,38.94,87472.89,87433.95,90430.64,90469.58,18,46.91,0,0
CASH_IN,7.49,50085.42,50077.93,82010.86,82018.35,17,24.76,0,0
CASH_OUT,12.96,83349.29,83336.32999999999,97124.43,97137.39,19,1.63,0,0
PAYMENT,320.03,51371.78,51051.75,29899.86,30219.89,16,2.73,0,0
PAYMENT,313.64,59112.56,58798.92,77538.59,77852.23,18,11.59,0,0
PAYMENT,31.54,42473.47,42441.93,56347.18,56378.72,9,25.17,0,0
CASH_OUT,1380.68,72100.07,70719.39000000001,25974.97,27355.65,19,1.42,0,0
CASH_IN,152.17,6115.07,5962.9,40696.44,40848.61,20,1.5,0,0
CASH_OUT,261.66,52621.61,52359.95,72837.57,73099.23000000001,8,20.22,0,0
CASH_OUT,14.53,83186.96,83172.43000000001,16512.67,16527.199999999997,12,7.94,0,0
CASH_IN,147.75,97492.0,97344.25,29809.62,29957.37,11,7.05,0,0
TRANSFER,861.53,5639.107669847022,4777.577669847023,18427.95,19289.48,9,41.83,0,0
PAYMENT,206.99,70587.67,70380.68,60740.31,60947.299999999996,18,28.56,0,0
PAYMENT,129.39,86645.39,86516.0,28787.33,28916.72,18,8.08,0,0
PAYMENT,1210.2,35019.21,33809.01,86041.04,87251.23999999999,17,30.72,0,0
PAYMENT,86.85,51779.43,51692.58,90928.98,91015.83,12,39.87,0,0
PAYMENT,50.01,18658.61,18608.600000000002,55937.9,55987.91,0,50.79,0,0
DEBIT,126.38,74599.96,74473.58,36466.25,36592.63,9,8.83,0,0
TRANSFER,351.29,3730.37,3379.08,14030.32,14381.61,14,26.04,0,0
DEBIT,58.75,10719.38,10660.63,98026.16,98084.91,3,0.88,0,0
TRANSFER,28.76,60039.91,60011.15,48762.36,48791.12,21,60.3,0,0
PAYMENT,533.36,26302.15,25768.79,86697.39,87230.75,13,29.49,0,0
PAYMENT,373.22,37649.92,37276.7,48970.08,49343.3,16,1.97,0,0
PAYMENT,296.18,17218.06,16921.88,54418.8,54714.98,11,23.64,0,0
CASH_OUT,1067.66,19542.58,18474.920000000002,80050.54,81118.2,23,30.37,0,0
PAYMENT,43.32,66536.08,66492.76,68642.8,68686.12000000001,18,11.9,0,0
PAYMENT,36.8,50189.64,50152.84,68733.16,68769.96,13,27.87,0,0
PAYMENT,51.16,78266.02,78214.86,27694.48,27745.64,11,33.48,0,0
PAYMENT,468.42,9508.11,9039.69,6134.13,6602.55,8,5.63,0,0
PAYMENT,37.76,12358.48,12320.72,16771.95,16809.71,12,16.47,0,0
PAYMENT,7.78,61597.82,61590.04,36183.55,36191.33,12,21.33,0,0
PAYMENT,1177.06,75768.75,74591.69,69345.48,70522.54,12,17.83,0,0
PAYMENT,534.72,18243.01,17708.289999999997,33553.22,34087.94,19,20.48,0,0
TRANSFER,190.86,10035.9,9845.039999999999,11571.75,11762.61,11,2.9,0,0
CASH_IN,675.57,56929.95,56254.38,69794.79,70470.36,17,20.92,0,0
CASH_IN,4758.56,72012.8,67254.24,56267.57,61026.13,10,4.09,0,0
PAYMENT,41.84,7606.8,7564.96,72289.75,72331.59,19,7.94,0,0
CASH_OUT,102.49,58150.58,58048.090000000004,15532.6,15635.09,11,56.47,0,0
PAYMENT,437.76,68261.12,67823.36,8186.43,8624.19,15,20.04,0,0
CASH_OUT,95.39,75394.06,75298.67,49900.3,49995.69,15,41.98,0,0
TRANSFER,114.15,33057.97,32943.82,20144.56,20258.710000000003,19,3.88,0,0
PAYMENT,28.35,17873.25,17844.9,41575.96,41604.31,18,10.92,0,0
CASH_OUT,13.87,91446.06,91432.19,96376.18,96390.04999999999,12,2.12,0,0
CASH_OUT,96.05,63582.95,63486.899999999994,27367.3,27463.35,4,3.17,0,0
PAYMENT,99.77,20790.29,20690.52,40876.56,40976.329999999994,18,4.12,0,0
CASH_OUT,261.3,44616.12,44354.82,7811.01,8072.31,8,16.2,0,0
PAYMENT,114.43,43466.69,43352.26,77299.96,77414.39,9,14.87,0,0
PAYMENT,273.39,82913.94,82640.55,20783.49,21056.88,19,36.7,0,0
CASH_OUT,10.45,55461.27,55450.82,13670.4,13680.85,12,0.58,0,0
PAYMENT,40.17,17531.25,17491.08,32236.35,32276.519999999997,15,1.44,0,0
TRANSFER,870.19,29646.22,28776.030000000002,66706.4,67576.59,14,11.04,0,0
CASH_OUT,38.27,61180.98,61142.71000000001,92276.97,92315.24,16,40.56,1,0
PAYMENT,19.12,9712.18,9693.06,71358.81,71377.93,11,24.95,0,0
CASH_IN,270.38,13205.23,12934.85,44732.88,45003.259999999995,20,18.9,0,0
CASH_OUT,9.04,1435.7576776374792,1426.7176776374793,45646.59,45655.63,20,1.6,0,0
PAYMENT,452.52,93997.74,93545.22,40290.02,40742.53999999999,12,4.46,0,0
PAYMENT,32.8,80795.3,80762.5,62304.42,62337.22,20,2.84,0,0
TRANSFER,57630.74,57630.74,0.0,200.0,57830.74,18,344.87,0,1
PAYMENT,118.06,44026.17,43908.11,18145.71,18263.77,15,0.69,0,0
TRANSFER,723.3,96819.73,96096.43,21447.22,22170.52,6,42.97,0,0
TRANSFER,12.58,26357.02,26344.44,7488.14,7500.72,12,16.46,0,0
PAYMENT,589.52,46065.56,45476.04,65451.56,66041.08,6,23.39,0,0
PAYMENT,68.14,24897.45,24829.31,91859.8,91927.94,10,21.41,0,0
PAYMENT,69.74,19868.61,19798.87,28373.86,28443.600000000002,8,5.91,0,0
PAYMENT,74.55,38137.53,38062.979999999996,83816.04,83890.59,15,14.82,0,0
PAYMENT,161.47,89510.9,89349.43,13960.02,14121.49,15,22.56,0,0
PAYMENT,475.97,88075.96,87599.99,89537.74,90013.71,17,4.73,0,0
CASH_OUT,3322.43,97231.68,93909.25,80330.77,83653.2,18,24.11,0,0
PAYMENT,110.88,74943.29,74832.40999999999,1923.73,2034.6100000000001,19,8.78,0,0
PAYMENT,24.05,36811.42,36787.369999999995,76987.31,77011.36,8,6.94,0,0
CASH_OUT,27553.0,27553.0,0.0,0.0,27553.0,11,147.24,0,1
CASH_OUT,281.27,11666.1,11384.83,9116.64,9397.91,18,6.03,0,0
CASH_OUT,407.23,57388.34,56981.10999999999,37858.52,38265.75,1,24.54,0,0
PAYMENT,83.58,87614.59,87531.01,67898.52,67982.1,14,26.58,0,0
CASH_IN,100.56,76842.28,76741.72,85535.78,85636.34,9,75.86,0,0
PAYMENT,226.49,59260.01,59033.520000000004,22610.77,22837.260000000002,10,6.99,0,0
CASH_OUT,41.67,41044.27,41002.6,32283.86,32325.53,16,6.76,0,0
TRANSFER,486.54,81840.32,81353.78000000001,21702.58,22189.120000000003,13,36.05,0,0
CASH_IN,369.83,95964.79,95594.95999999999,46434.28,46804.11,1,13.87,0,0
CASH_OUT,122.27,48068.15,47945.880000000005,98589.52,98711.79000000001,14,0.99,0,0
TRANSFER,83769.05,133733.21,49964.15999999999,0.0,83769.05,2,452.02,1,1
CASH_IN,295.36,32275.04,31979.68,52975.23,53270.590000000004,9,3.43,0,0
PAYMENT,30.99,28087.83,28056.84,69899.22,69930.21,19,8.2,0,0
PAYMENT,8.31,76239.91,76231.6,13905.71,13914.019999999999,18,16.16,0,0
TRANSFER,5.0,96871.4,96866.4,41103.59,41108.59,7,20.16,0,0
PAYMENT,35.05,94822.32,94787.27,11612.92,11647.97,8,39.8,0,0
PAYMENT,1038.66,31884.32,30845.66,942.71,1981.3700000000001,7,15.4,0,0
CASH_OUT,110.68,99569.71,99459.03000000001,34145.38,34256.06,12,24.29,0,0
CASH_IN,31.73,29866.68,29834.95,13211.34,13243.07,2,1.68,0,0
CASH_OUT,27.63,53138.94,53111.310000000005,46998.91,47026.54,12,7.51,0,0
PAYMENT,56.23,10756.34,10700.11,75928.71,75984.94,9,6.09,0,0
PAYMENT,18.42,6685.18,6666.76,62802.44,62820.86,12,48.98,0,0
PAYMENT,4804.33,5690.895925322949,886.5659253229487,59443.72,64248.05,13,14.05,0,0
PAYMENT,326.56,84817.33,84490.77,71306.09,71632.65,15,11.55,0,0
CASH_OUT,173.15,3320.98,3147.83,92419.34,92592.48999999999,7,18.49,0,0
PAYMENT,171.69,45820.0,45648.31,86972.65,87144.34,16,31.35,0,0
CASH_IN,676.25,48633.54,47957.29,44248.02,44924.27,9,36.04,0,0
TRANSFER,24546.05,24546.05,0.0,0.0,24546.05,0,428.66,1,1
DEBIT,17.64,94999.66,94982.02,93013.22,93030.86,10,28.24,0,0
CASH_IN,170.91,61981.9,61810.99,44163.05,44333.96000000001,14,13.46,0,0
TRANSFER,83.07,61379.87,61296.8,61585.29,61668.36,17,6.69,0,0
PAYMENT,38.63,42950.21,42911.58,32140.32,32178.95,11,44.19,0,0
PAYMENT,293.85,56799.98,56506.130000000005,55263.4,55557.25,10,0.5,0,0
PAYMENT,15.69,84177.24,84161.55,84240.34,84256.03,6,26.2,0,0
CASH_OUT,887.73,13669.13,12781.4,48089.64,48977.37,13,9.05,0,0
CASH_IN,10.84,40880.43,40869.590000000004,89253.06,89263.9,11,34.78,0,0
PAYMENT,1350.54,52193.95,50843.409999999996,43375.32,44725.86,8,5.67,0,0
PAYMENT,362.03,64129.52,63767.49,92202.42,92564.45,12,25.18,0,0
TRANSFER,182.99,47839.16,47656.170000000006,76800.06,76983.05,9,6.94,0,0
PAYMENT,2942.76,57636.4,54693.64,82973.0,85915.76,11,14.42,1,0
CASH_OUT,113.34,89443.76,89330.42,58192.61,58305.95,10,2.29,0,0
PAYMENT,210.71,26835.84,26625.13,53193.86,53404.57,16,11.13,0,0
PAYMENT,461.42,59138.81,58677.39,51112.96,51574.38,1,20.73,0,0
PAYMENT,34.16,41582.75,41548.59,5613.47,5647.63,10,8.39,0,0
TRANSFER,12.67,91523.46,91510.79000000001,1553.51,1566.18,11,4.21,0,0
CASH_IN,220.06,16703.54,16483.48,98316.22,98536.28,14,24.39,0,0
TRANSFER,32.63,74877.04,74844.40999999999,58840.72,58873.35,15,66.16,0,0
PAYMENT,120.49,30097.55,29977.059999999998,17444.33,17564.820000000003,10,14.87,0,0
PAYMENT,93.11,19682.15,19589.04,22620.67,22713.78,13,5.93,0,0
PAYMENT,123.11,93578.54,93455.43,51213.75,51336.86,15,4.5,0,0
PAYMENT,110.65,76995.44,76884.79000000001,17750.88,17861.530000000002,13,3.13,0,0
PAYMENT,184.04,9746.27,9562.23,62850.96,63035.0,14,1.91,1,0
PAYMENT,41.38,33386.79,33345.41,68918.28,68959.66,7,14.03,0,0
CASH_OUT,3444.95,25533.14,22088.19,69231.03,72675.98,6,24.0,0,0
CASH_OUT,392.19,47498.53,47106.34,19651.69,20043.879999999997,8,38.05,0,0
DEBIT,10.55,57849.38,57838.829999999994,82415.57,82426.12000000001,12,13.96,0,0
TRANSFER,96658.36,96658.36,0.0,0.0,96658.36,18,477.46,1,1
CASH_OUT,34.63,3649.6467369341203,3615.01673693412,91259.05,91293.68000000001,3,3.31,0,0
TRANSFER,487.03,81318.29,80831.26,23964.19,24451.219999999998,9,4.27,0,0
PAYMENT,506.9,28204.75,27697.85,96437.97,96944.87,13,22.87,0,0
CASH_OUT,89539.88,89539.88,0.0,0.0,89539.88,2,291.07,0,1
PAYMENT,51.16,61991.98,61940.82,89503.93,89555.09,7,31.79,0,0
TRANSFER,87.43,54214.42,54126.99,74209.62,74297.04999999999,12,16.81,0,0
CASH_IN,69.41,64136.7,64067.28999999999,13515.44,13584.85,18,14.35,1,0
CASH_OUT,150.25,75384.5,75234.25,15887.52,16037.77,9,9.71,0,0
PAYMENT,114.59,70615.31,70500.72,46084.45,46199.03999999999,12,28.2,0,0
TRANSFER,51.03,1761.5,1710.47,16116.7,16167.730000000001,11,32.73,0,0
TRANSFER,48617.71,64050.84,15433.129999999997,200.0,48817.71,10,255.43,0,1
PAYMENT,1316.66,56712.97,55396.31,25700.62,27017.28,8,0.61,0,0
CASH_OUT,346.44,43504.63,43158.189999999995,37384.24,37730.68,17,15.02,0,0
DEBIT,533.45,25442.96,24909.51,41098.29,41631.74,8,75.51,0,0
CASH_IN,14.69,8897.17,8882.48,53391.96,53406.65,4,14.23,0,0
TRANSFER,54.35,20285.44,20231.09,30181.33,30235.68,18,29.66,0,0
DEBIT,215.87,59223.34,59007.469999999994,10483.58,10699.45,11,34.97,1,0
TRANSFER,1420.41,34085.03,32664.62,5627.07,7047.48,7,9.29,1,0
PAYMENT,118.15,51146.16,51028.01,26412.5,26530.65,6,24.24,0,0
CASH_IN,521.97,54919.02,54397.049999999996,23252.25,23774.22,16,1.98,0,0
CASH_IN,80.04,37664.01,37583.97,67707.22,67787.26,10,19.73,0,0
CASH_OUT,12.58,12030.48,12017.9,76720.95,76733.53,21,4.3,0,0
CASH_OUT,92.37,42481.32,42388.95,25223.24,25315.61,9,5.23,0,0
DEBIT,169.0,6805.06,6636.06,530.57,699.57,5,3.66,0,0
CASH_OUT,5.0,94322.74,94317.74,73152.04,73157.04,8,59.01,0,0
CASH_OUT,806.51,64305.94,63499.43,11149.43,11955.94,9,14.38,0,0
CASH_OUT,341.46,49171.67,48830.21,96737.59,97079.05,18,37.66,0,0
PAYMENT,30.99,98863.19,98832.2,52640.43,52671.42,13,60.9,0,0
CASH_OUT,118.41,18843.38,18724.97,90682.52,90800.93000000001,15,7.02,0,0
CASH_OUT,550.66,37781.46,37230.799999999996,60707.2,61257.86,7,28.0,0,0
TRANSFER,45.2,88728.36,88683.16,62610.77,62655.969999999994,8,0.68,0,0
PAYMENT,1913.54,69442.86,67529.32,20594.14,22507.68,11,0.66,0,0
CASH_OUT,1713.22,55690.47,53977.25,26245.64,27958.86,12,34.26,0,0
CASH_IN,613.35,95505.65,94892.29999999999,74614.42,75227.77,4,24.77,0,0
CASH_OUT,102.26,6536.48,6434.219999999999,33584.28,33686.54,11,22.85,0,0
CASH_IN,18.64,5920.29,5901.65,81870.51,81889.15,18,30.31,0,0
DEBIT,1011.85,26885.25,25873.4,46238.57,47250.42,13,0.76,1,0
TRANSFER,77.98,14516.06,14438.08,64045.22,64123.200000000004,12,7.92,0,0
PAYMENT,85.81,32198.66,32112.85,18447.36,18533.170000000002,20,10.11,0,0
PAYMENT,207.82,88073.16,87865.34,86532.05,86739.87000000001,17,16.12,0,0
PAYMENT,1653.04,37348.37,35695.33,74359.05,76012.09,2,6.74,0,0
CASH_IN,91.32,16050.88,15959.56,94833.44,94924.76000000001,14,14.8,0,0
PAYMENT,43.85,41480.93,41437.08,88372.45,88416.3,0,10.88,0,0
PAYMENT,180.28,96312.85,96132.57,55126.36,55306.64,12,15.98,0,0
PAYMENT,109.51,97797.72,97688.21,27382.95,27492.46,21,16.19,0,0
CASH_OUT,666.72,36368.27,35701.549999999996,33364.87,34031.590000000004,18,4.92,0,0
CASH_OUT,66.71,92001.01,91934.29999999999,64966.69,65033.4,8,0.71,0,0
CASH_OUT,265.54,94784.37,94518.83,73616.56,73882.09999999999,7,9.52,0,0
CASH_OUT,83.43,27322.16,27238.73,77494.81,77578.23999999999,8,5.33,0,0
CASH_IN,317.19,38896.02,38578.829999999994,35011.44,35328.630000000005,10,8.64,0,0
CASH_OUT,84.81,77720.78,77635.97,23084.49,23169.300000000003,18,12.71,0,0
DEBIT,107.34,61007.78,60900.44,79789.43,79896.76999999999,19,32.79,0,0
PAYMENT,65.05,85523.63,85458.58,56917.96,56983.01,14,3.25,0,0
PAYMENT,836.38,88303.59,87467.20999999999,45718.74,46555.119999999995,10,21.7,0,0
PAYMENT,25.0,51062.07,51037.07,17231.36,17256.36,14,10.2,0,0
CASH_OUT,277.28,11935.47,11658.189999999999,14157.46,14434.74,15,35.71,0,0
PAYMENT,109.29,15358.88,15249.589999999998,28781.42,28890.71,11,12.29,0,0
PAYMENT,12.01,96614.39,96602.38,61172.69,61184.700000000004,8,15.6,0,0
TRANSFER,18.22,9614.25,9596.03,41517.19,41535.41,16,31.25,0,0
PAYMENT,156.84,4360.9,4204.0599999999995,16116.05,16272.89,20,13.74,0,0
CASH_OUT,16.74,45707.5,45690.76,80521.18,80537.92,12,16.4,0,0
CASH_IN,59.69,89724.01,89664.31999999999,12135.53,12195.220000000001,13,0.5,0,0
PAYMENT,110.56,7185.33,7074.7699999999995,22369.71,22480.27,17,8.43,0,0
CASH_IN,1173.42,94604.85,93431.43000000001,50802.35,51975.77,9,9.6,0,0
TRANSFER,104.56,77591.23,77486.67,7934.39,8038.950000000001,9,18.21,0,0
TRANSFER,243.61,81103.57,80859.96,9158.03,9401.640000000001,10,23.89,1,0
TRANSFER,8622.91,8622.91,0.0,0.0,8622.91,16,177.16,0,1
TRANSFER,15016.49,18924.97,3908.4800000000014,2000.0,17016.489999999998,20,307.1,1,1
PAYMENT,206.48,66768.17,66561.69,4717.39,4923.87,11,0.68,0,0
PAYMENT,167.24,56107.69,55940.450000000004,81917.13,82084.37000000001,19,14.51,0,0
TRANSFER,123.3,11185.56,11062.26,1245.28,1368.58,11,49.75,0,0
CASH_OUT,1099.79,50597.56,49497.77,66666.37,67766.15999999999,10,18.95,0,0
CASH_OUT,140.35,5072.532528333857,4932.182528333857,71086.94,71227.29000000001,13,27.91,0,0
CASH_IN,453.91,16202.78,15748.87,87283.72,87737.63,15,15.16,0,0
TRANSFER,39782.26,60517.78,20735.519999999997,0.0,39782.26,4,157.56,1,1
CASH_OUT,292.24,99997.23,99704.98999999999,40254.44,40546.68,12,3.92,0,0
CASH_OUT,853.84,18849.72,17995.88,8748.0,9601.84,10,13.66,0,0
PAYMENT,68.58,95850.57,95781.99,26820.26,26888.84,19,61.75,0,0
PAYMENT,30.28,51090.64,51060.36,44910.64,44940.92,19,6.79,0,0
CASH_IN,223.01,50488.99,50265.979999999996,83409.62,83632.62999999999,13,3.59,0,0
PAYMENT,44.11,68454.13,68410.02,18989.27,19033.38,18,4.56,0,0
PAYMENT,808.98,79574.62,78765.64,24284.74,25093.72,11,29.08,0,0
TRANSFER,627.76,53789.66,53161.9,18177.12,18804.879999999997,12,0.71,0,0
DEBIT,14.23,8720.43,8706.2,40801.52,40815.75,18,15.5,0,0
DEBIT,63.22,81111.93,81048.70999999999,62859.87,62923.090000000004,11,23.64,0,0
TRANSFER,169.98,69215.82,69045.84000000001,11027.06,11197.039999999999,0,23.91,0,0
PAYMENT,449.89,49623.22,49173.33,68358.85,68808.74,9,7.06,0,0
CASH_IN,489.22,48580.44,48091.22,53519.25,54008.47,11,5.6,0,0
PAYMENT,59.87,40831.83,40771.96,43822.92,43882.79,7,34.54,0,0
TRANSFER,159.7,50733.65,50573.950000000004,29815.32,29975.02,11,5.61,0,0
PAYMENT,5.0,93543.34,93538.34,51921.46,51926.46,14,9.31,0,0
PAYMENT,485.15,47697.13,47211.979999999996,34626.5,35111.65,16,36.95,0,0
TRANSFER,155.12,68826.59,68671.47,44956.55,45111.670000000006,18,2.56,0,0
PAYMENT,151.97,67779.82,67627.85,54045.78,54197.75,0,4.38,0,0
CASH_OUT,37.23,2478.244351247782,2441.014351247782,29646.77,29684.0,10,1.45,0,0
TRANSFER,261.74,72260.95,71999.20999999999,50123.47,50385.21,9,0.54,0,0
DEBIT,574.58,99606.79,99032.20999999999,93368.84,93943.42,10,1.82,0,0
CASH_OUT,152.03,91500.93,91348.9,32893.9,33045.93,9,9.39,0,0
CASH_OUT,84.45,66871.77,66787.32,82132.73,82217.18,9,37.57,0,0
TRANSFER,527.79,21446.86,20919.07,84191.15,84718.93999999999,18,34.72,0,0
PAYMENT,136.28,88680.02,88543.74,19912.21,20048.489999999998,10,57.23,0,0
PAYMENT,64.38,63823.35,63758.97,29187.35,29251.73,12,9.88,0,0
PAYMENT,937.06,91581.36,90644.3,81186.61,82123.67,7,12.57,0,0
CASH_OUT,83.78,5575.96,5492.18,63514.29,63598.07,19,1.82,0,0
CASH_OUT,782.61,44806.76,44024.15,11066.12,11848.730000000001,21,14.78,0,0
PAYMENT,497.77,74345.52,73847.75,82614.85,83112.62000000001,16,4.93,0,0
CASH_IN,32.43,23177.52,23145.09,98435.16,98467.59,7,1.94,0,0
PAYMENT,214.05,58559.38,58345.329999999994,94206.6,94420.65000000001,14,19.77,0,0
TRANSFER,62.06,74023.65,73961.59,71409.19,71471.25,17,4.0,0,0
CASH_OUT,60.05,64108.37,64048.32,21389.76,21449.809999999998,17,3.53,0,0
PAYMENT,824.27,5172.45,4348.18,38999.24,39823.509999999995,13,11.7,0,0
TRANSFER,93.34,61599.24,61505.9,22580.29,22673.63,8,33.63,0,0
TRANSFER,216.87,77656.96,77440.09000000001,85780.11,85996.98,8,46.59,0,0
CASH_OUT,537.18,1144.9984788875468,607.8184788875468,92759.01,93296.18999999999,12,44.33,0,0
PAYMENT,394.57,69249.79,68855.21999999999,55260.22,55654.79,8,9.97,0,0
CASH_IN,30.38,9427.11,9396.730000000001,33282.06,33312.439999999995,8,12.16,0,0
TRANSFER,152.89,29944.05,29791.16,50181.1,50333.99,18,26.51,0,0
PAYMENT,18.71,83479.76,83461.04999999999,50860.46,50879.17,7,116.34,0,0
PAYMENT,19.66,81425.71,81406.05,7707.18,7726.84,17,22.84,0,0
CASH_IN,7.88,75619.26,75611.37999999999,18471.77,18479.65,12,3.7,0,0
CASH_IN,125.0,15496.11,15371.11,67954.55,68079.55,6,1.19,0,0
CASH_IN,164.59,86046.81,85882.22,88307.86,88472.45,18,27.84,0,0
CASH_OUT,300.87,58621.46,58320.59,50381.91,50682.780000000006,16,35.58,0,0
TRANSFER,1570.41,60549.42,58979.009999999995,92560.66,94131.07,10,61.21,0,0
CASH_OUT,819.75,83379.66,82559.91,21310.04,22129.79,18,3.04,0,0
PAYMENT,378.69,58737.14,58358.45,32527.68,32906.37,19,0.5,0,0
PAYMENT,52.97,16802.97,16750.0,72100.88,72153.85,6,7.45,0,0
CASH_OUT,30.55,60257.46,60226.909999999996,25091.19,25121.739999999998,6,8.18,0,0
CASH_IN,95.31,30733.39,30638.079999999998,5747.63,5842.9400000000005,17,5.69,0,0
PAYMENT,93.76,93462.54,93368.78,96076.6,96170.36,13,0.5,0,0
PAYMENT,146.81,93139.01,92992.2,83907.53,84054.34,13,1.06,0,0
PAYMENT,25.92,86141.58,86115.66,14758.47,14784.39,6,18.93,0,0
CASH_OUT,193.13,30389.41,30196.28,71332.53,71525.66,13,107.6,0,0
CASH_OUT,528.55,76358.55,75830.0,56428.13,56956.68,14,18.89,0,0
PAYMENT,540.46,7167.36,6626.9,32679.36,33219.82,9,2.46,0,0
PAYMENT,118.42,18952.39,18833.97,48640.61,48759.03,18,39.93,1,0
CASH_IN,867.87,81996.4,81128.53,53891.01,54758.880000000005,8,44.94,0,0
PAYMENT,52.36,58771.81,58719.45,53367.44,53419.8,6,44.51,0,0
CASH_IN,2547.24,45591.01,43043.770000000004,35716.89,38264.13,19,6.34,0,0
CASH_IN,208.74,85564.34,85355.59999999999,26431.27,26640.010000000002,9,20.82,0,0
TRANSFER,11.5,3529.5169375511286,3518.0169375511286,56122.89,56134.39,12,10.02,0,0
CASH_IN,573.53,2796.5014465457652,2222.9714465457655,39253.67,39827.2,2,19.93,0,0
PAYMENT,32.4,10863.78,10831.380000000001,96091.06,96123.45999999999,18,25.38,0,0
PAYMENT,1830.9,48701.78,46870.88,26975.15,28806.050000000003,19,28.95,0,0
PAYMENT,113.43,45504.24,45390.81,94138.54,94251.96999999999,8,1.51,0,0
CASH_OUT,271.9,89276.93,89005.03,53440.99,53712.89,9,23.19,0,0
PAYMENT,18.87,76613.36,76594.49,91747.09,91765.95999999999,20,2.5,0,0
CASH_OUT,29.01,45050.4,45021.39,52689.31,52718.32,18,31.42,0,0
PAYMENT,138.62,93785.64,93647.02,1437.4,1576.02,17,3.03,0,0
CASH_IN,18.13,88306.58,88288.45,52030.25,52048.38,13,15.71,0,0
TRANSFER,122.49,89505.03,89382.54,84063.78,84186.27,9,69.52,0,0
PAYMENT,542.36,9035.8,8493.439999999999,87500.57,88042.93000000001,12,27.84,0,0
PAYMENT,22925.67,22925.67,0.0,200.0,23125.67,4,284.87,0,1
PAYMENT,64.03,70033.89,69969.86,32609.72,32673.75,6,16.0,0,0
CASH_OUT,430.54,94572.18,94141.64,96123.11,96553.65,9,133.71,0,0
CASH_IN,896.85,48192.84,47295.99,58160.71,59057.56,8,7.68,0,0
TRANSFER,61.39,30817.41,30756.02,45638.25,45699.64,11,11.06,0,0
CASH_OUT,431.61,22579.67,22148.059999999998,21418.21,21849.82,12,46.0,0,0
CASH_OUT,16212.81,16212.81,0.0,0.0,16212.81,11,205.09,1,1
PAYMENT,1470.85,5422.799854117524,3951.949854117524,69780.97,71251.82,12,10.53,0,0
PAYMENT,150.75,90758.4,90607.65,87494.11,87644.86,15,8.39,0,0
DEBIT,650.95,59416.01,58765.060000000005,15471.92,16122.87,10,14.57,0,0
CASH_OUT,586.88,80797.11,80210.23,71297.33,71884.21,16,48.57,0,0
PAYMENT,5.0,21415.42,21410.42,84699.21,84704.21,8,4.19,0,0
CASH_IN,8.74,16757.64,16748.899999999998,63727.34,63736.079999999994,12,17.02,0,0
CASH_IN,62.64,11826.54,11763.900000000001,8282.47,8345.109999999999,12,2.15,0,0
PAYMENT,38.79,91409.73,91370.94,41831.8,41870.590000000004,9,5.1,0,0
PAYMENT,756.42,99646.42,98890.0,27274.68,28031.1,6,2.89,0,0
PAYMENT,62.26,50058.7,49996.439999999995,32086.45,32148.71,18,27.61,1,0
CASH_IN,54.48,72106.14,72051.66,13580.82,13635.3,8,21.47,0,0
PAYMENT,159.38,80742.03,80582.65,16439.26,16598.64,12,30.65,0,0
CASH_IN,129.44,66035.86,65906.42,35920.73,36050.170000000006,18,14.27,0,0
CASH_IN,114.86,48016.24,47901.38,62320.34,62435.2,10,26.33,0,0
CASH_IN,5.0,73024.63,73019.63,79745.65,79750.65,14,0.5,0,0
CASH_IN,32.5,3057.604001939507,3025.104001939507,94617.31,94649.81,17,8.08,0,0
CASH_OUT,461.66,92772.98,92311.31999999999,52745.45,53207.11,11,8.61,0,0
